,Poems,/People & Society/Family & Relationships/Troubled Relationships,/Arts & Entertainment/Music & Audio,/Food & Drink/Cooking & Recipes,/Arts & Entertainment,/Books & Literature,/Computers & Electronics,/Pets & Animals,/Pets & Animals/Wildlife,/Hobbies & Leisure,/Sensitive Subjects,/Shopping/Apparel,/People & Society/Family & Relationships,/Arts & Entertainment/Movies,/Pets & Animals/Pets/Birds,/Sports,/Pets & Animals/Pets/Dogs,/Pets & Animals/Pets/Cats,/People & Society,/Business & Industrial,/Food & Drink,/Health,/Sports/International Sports Competitions/Olympics,/Home & Garden/Gardening & Landscaping,/Science,/Health/Health Conditions/Cancer,/Law & Government,/Finance/Credit & Lending,/People & Society/Religion & Belief,/Arts & Entertainment/Visual Art & Design/Painting,/Health/Health Conditions,/Science/Biological Sciences,/Law & Government/Legal,/Arts & Entertainment/Performing Arts/Dance,/News/Politics,/Games/Computer & Video Games,/Sports/Individual Sports/Skate Sports,/Shopping,/Sports/Sporting Goods,/Arts & Entertainment/TV & Video,/News,/Health/Health Conditions/Pain Management,/Computers & Electronics/Computer Hardware,/Law & Government/Public Safety,/Games,/Shopping/Gifts & Special Event Items/Flowers,/Hobbies & Leisure/Special Occasions,/Arts & Entertainment/Humor,/Hobbies & Leisure/Water Activities/Surf & Swim,/Sports/Water Sports/Swimming,/Sports/International Sports Competitions,/Health/Vision Care,/Internet & Telecom,/Business & Industrial/Agriculture & Forestry,/Pets & Animals/Animal Products & Services/Pet Food & Supplies,/Home & Garden/Pest Control,/Food & Drink/Food,/Food & Drink/Beverages/Alcoholic Beverages,/People & Society/Family & Relationships/Marriage,/Beauty & Fitness/Face & Body Care,/Beauty & Fitness/Hair Care,/Food & Drink/Beverages,/Books & Literature/Poetry,/Arts & Entertainment/Visual Art & Design,/Home & Garden,/Reference,/People & Society/Family & Relationships/Family,/Sports/Team Sports,/Sports/Individual Sports/Racquet Sports,/News/Sports News,/Arts & Entertainment/Celebrities & Entertainment News,/Pets & Animals/Pets,/Hobbies & Leisure/Outdoors/Fishing,/Law & Government/Public Safety/Crime & Justice,/Science/Astronomy,/Hobbies & Leisure/Crafts,/Sports/Extreme Sports,/Sports/Combat Sports/Boxing,/Jobs & Education/Education,/Arts & Entertainment/Offbeat/Occult & Paranormal,/Online Communities/Dating & Personals,/Sports/Team Sports/Cricket,/Arts & Entertainment/Music & Audio/Rock Music,/Arts & Entertainment/Comics & Animation/Anime & Manga,/Food & Drink/Food/Meat & Seafood,/Beauty & Fitness,/Reference/General Reference,/Reference/Language Resources,/People & Society/Social Issues & Advocacy,/Law & Government/Legal/Legal Services,/Beauty & Fitness/Fashion & Style,/Internet & Telecom/Web Services,/Hobbies & Leisure/Water Activities/Boating,/Health/Health Conditions/Sleep Disorders,/Business & Industrial/Business Services,/Science/Computer Science,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
19,"from his room he sat, feeling asleep now he's lying there, with nary a peep from his wife, i have found he knows she, around he becomes troubled, and frightened, and weep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"there once was a person by birth as a person, on life and on earth so the birth that he grew set his birthday or two whenever there was his hearth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,she'll be gone any minute that's the limit of life. i can't mask it but my job? do i care when i'm here in up there she cannot leave me; i just mask it,,,,0.550000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"we're divorced. my love's completely unplanned but her dad has a knife in each hand don't get bad, cut it right take my baby. don't fight a commitment to stay, i'll demand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"we're divorced. my love's completely unplanned seems our adoption, sadly, was banned there are plans for adoption but tomorrow's occasion which we've wed all alone and left hand",,,,,,,,,,,,0.6600000262260437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,if you'd like a fast and furious fight 'cause the crowd went too far out of sight in spite of this crowd that we're loud and quite loud then it's all those who blame: music's right,,,,,,,,,,,,,0.6499999761581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"your attitude is wrong; don't you see nice or rude. let's just say with ennui so, whatever you say hard to get out your way compateness isn't for me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"this flower, of great import, has and you're sure that you'll have some pizzazz though it's yellow, not yellow is white, pink, and mellow i don't love it; they get too much pizzazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,we're divorced. my love's completely unplanned as divorce; our divorce have been canned caw in hell? if you see us like compassionless gnus but we still have the love in this land,0.6000000238418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,a big bird can't be an amphibious bird that's not caused by the owner's misword he ventured to sea caused him asperity. he he's a bird? what a very nice word,,,,,,,,,0.8199999928474426,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"the cat was a bighearted guy when he saw the old cat grin and cat's eye then he stared at the cat and went out on the scat but she wanted to pet us, not why",,,,0.8100000023841858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,what a pity that our city is run and this building? this man has had fun this man from the floor will be brought to his store now the streets are completed or done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"there once was a girl from siberia i found in a place of siberia of a town, where i found she circled a round in the study of workin' from siberia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,the olympic balls that we played a parade with the family parade while the greeks were all rodeos and the greeks were all rodeos the pantherly beauty displayed,,,,0.6200000047683716,,,,,,,,,,,0.5699999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"a chimp who has suffered from sloth is to flee at the end of the wrath she has bound to have fled but to leave him in bed not as scarred, or as fat as the moth",,,,,,,,0.8999999761581421,0.7699999809265137,0.699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"the old celticist, fahrenheit 451 became, being too high, but not tony that's the end of the year truth was, no-one would fear how the world became fatter than panty",,,,0.5299999713897705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,my new job's been really quite challenging the challenge is constant and daunting it's still coming back i'll be under attack the days i have started invoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"there once was a person by birth (his mind, not a person of worth was much greater than one who was not from the sun more than one in the shade of the earth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,a dog-eat-dog dogfight's quite the same and in play; there's a very fine game a good dog in a fight every threat comes to bite i don't fear it; the bad dog's its name,,,,,,,,,0.75,,,,,,,0.6000000238418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"you are asking for trouble, i fear for which i am sure you must steer but the card's on your head is your head, where i've said it can get just as long as you're here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"the term amokusa appears pharaoh in four thousand years or it is, 'pharaoh jesus (they once were the crazies) so the romans had heraanites' cheers",,,,0.5899999737739563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"if you'd like a fast and furious fight and you think of what's wrong, it's not right in a big faultless fight when what's wrong, it's not right and we all will become a young knight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,a dog-eat-dog dogfight's quite the same dog-eat-dog's the other dog's name no-mowing and barking such behavior's troubling it's not just a puppy to tame,,,,,,,,,0.9700000286102295,,,,,,,0.9200000166893005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"the cat was a bighearted guy but his cat couldn't kill him. so i expectedly, though, he with his little cat c now that reason is sure to reply",,,,0.7699999809265137,,,,,,,,,,,,,0.5099999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"there once was a person by birth and among distinctions are worth but from birth in one's name yes, a difference's its claim of the difference it's given to earth",,,,,,,,,,,,,,,,,,0.5699999928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"a dog-eat-dog dogfight's quite the same don't beat it, for me, in this game the most vicious attack hit me up, bite me back as it gives me a name",,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"it's not a plant most people would seek they read it in latin or greek a sweet citrus fruit or perhaps it's a root not a citrus fruit, at its peak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,the adzuki: a yak that you'd meet where it lives on the land that's elite we was home to explore it on a yak and a camel has tolerance zero to heat,,,,0.6100000143051147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"the old celticist, fahrenheit 451 that great persian printer was farty how he needed for fahrenheit when they asked him for fahrenheit that it's true, but he still wrote himself farty",,,,,,,,,,,,,,,,,,,0.5099999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"when he visits, for his dastardly deeds so he won't be fulfilling his needs but to get the next day they'll return to their play if he's like it or not, he still feeds",,,,0.7900000214576721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"what a pity that our city is run there's a few walk their way through the sun but might find a fine place and maintaining the pace when to do it to work, it'll be run",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,here's a verse (a verse by dorotheosis) thanks to my correct diagnosis severe pain (a thererhic) in the thought it is comic to my correct diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"when your mind is so dull and abstract my lost memory's fully intact i forget, i recall just a fight and a brawl tell it or not, it's my part of the act",,,,0.6000000238418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"a chimp who has suffered from sloth is the man in the back of a moth this poor creeper who's there is a neighbourly pair but look at me. i am, better, forsooth",,,,,,,,0.9599999785423279,0.9300000071525574,0.6800000071525574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,your computer is useless when fried you eat candies; although there's one side if they're shapes made of sweets then you'll find it defeats bread and colours and shapes lie beside,,,,,,,,,,,,,,,,,,,,0.5099999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,if you use deoxyribonucleic crossing bonds to your lipids will frolic (it's chloroomeric) unless you're euphoric then stick to the stuff that's in frolic,,,,,,,,,,,,,,,,,,,,,0.550000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,there once was a girl from siberia whose lover was tempted to sliber ya she ran out her way at a fancy caf? as she sporked on the green cabinda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"if you'd like a fast and furious fight have no fear, when you set out at night pretty quickly, you'll see'll don't shake up a bottle close your eye and just squeeze it up tight",,,,,,,,,,,,,0.7599999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"a decimetre per second every year, the radometer's reckoned of the absolute height or a change, if that's right by the way the centarometer's reckoned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"here's a verse (a verse by dorotheosis) 'bout your follicles (in small doses) they are actin, i read it are you heard? when i said it you've done. girls and boys. large or small doses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"after years of arduous wrangling when his trousers slipped down, he was anglinging the coroner found now his skeleton's found will reflect what is sad, and revealing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"his parents, the greek pharaoh's brother the birth name of god, named by his mother are the earliest gods the same father at odds and her father, gave birth, was the other",,,,,,,,,,,,0.5199999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"what a pity that our city is run you'll find hard not to do it for fun so the part of the city ohoh, what a pity we're not far greater than one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"it is ciphered by those who like to eat that you'd dine in bed or to duvet while an almond-eyed pup to a man, who'd turn up but a supple is not up to beat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"the cat was a bighearted guy up on top of his tail, way up high as he ran out of fur wearing shiny brown gar lost his ears and his tail, way up high",,,,0.6299999952316284,,,0.5,,0.5199999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"the olympic balls that we played though you? no, i should not be afraid did you claim to fame so i earned you my name with one words:",,,,,,,,,,,,,,,,,,,,,,0.6399999856948853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,it is ciphered by those who like to eat a king's crow bird is covered in meat an asparagus? is it (wouldn't swish; then this is it) can't be what i don't like to eat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,she'll be gone any minute to have your dearest baby?that's it for it's true she is not it's hot. she's not hot you come in. just do something. that's it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"an angel's a spirit who sings to his earth, with his spiritual things whom, the spirit of life may cause conflict and strife and envelops the soul from the springs",,,,0.5299999713897705,,,,,,,,,,,,,,0.5799999833106995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"in the spring some plants have such blooms many blossoms in flowery rooms these small clusters of flowers like blossoms for hours with a blossom, nature assumes",,,,,,,,,,,,,,,,,,,,,,,0.8199999928474426,0.5099999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,she'll be gone any minute you think that she's trying to spoil it she'd tell me to do me an hour or two now she's gone. i'm a girl. i just spoil it,,,,0.6399999856948853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
